Name,DNS Domain,Type,Status,IP Address,D Operating System,D Host Domain
506921-prdweb01,,Windows,In Use,192.168.103.61,,
506937-qaapp01,,Windows,In Use,192.168.202.48,,
506939-qaweb01,,Windows,In Use,192.168.102.49,,
506940-prdapp01,,Windows,In Use,192.168.203.50,,
506962-prdsql01,,Windows,In Use,192.168.203.60,,
506965-prdsql02,,Windows,In Use,192.168.203.62,,
506966-qasql01,,Windows,In Use,192.168.202.181,,
506967-qasql02,,Windows,In Use,192.168.202.63,,
awseuwappmrd01,,Windows,In Use,10.36.1.213,Windows 2008 R2,us.maritz.net
awseuwappmrd02,us.maritz.net,Windows,In Use,10.36.1.32,Windows 2008 R2,us.maritz.net
awseuwdcus99,,Windows,In Use,10.36.5.99,Windows 2008 R2,us.maritz.net
awseuwftp1002,,Windows,In Use,10.36.5.19,Windows 2008 R2,us.maritz.net
awseuwsqlmrd01,,Windows,In Use,10.36.4.189,Windows 2008 R2,us.maritz.net
awseuwsqlmrd02,,Windows,In Use,10.36.4.154,Windows 2008 R2,us.maritz.net
awseuwsqlmrp01,,Windows,In Use,10.36.2.122,Windows 2008 R2,us.maritz.net
awseuwsqlmrp04,,Windows,In Use,10.36.2.115,Windows 2008 R2,us.maritz.net
awseuwsqlmrp05,,Windows,In Use,10.36.2.29,Windows 2008 R2,us.maritz.net
awseuwsqlmrp07,,Windows,In Use,10.36.2.233,Windows 2008 R2,us.maritz.net
awseuwsqlmrr01,,Windows,In Use,10.36.2.141,Windows 2008 R2,us.maritz.net
awseuwsqlmrr02,,Windows,In Use,10.36.2.216,Windows 2008 R2,us.maritz.net
awseuwsqlmrt01,,Windows,In Use,10.36.2.151,Windows 2008 R2,us.maritz.net
awseuwtsvr1002,,Windows,In Use,10.36.5.87,Windows 2008 R2,us.maritz.net
awseuwwapmrd01,,Windows,In Use,10.36.4.26,Windows 2008 R2,us.maritz.net
awseuwwapmrp01,us.maritz.net,Windows,In Use,10.36.1.173,Windows 2008 R2,us.maritz.net
awseuwwebmrd01,,Windows,In Use,10.36.3.62,Windows 2008 R2,us.maritz.net
